net,length_um
_01321_,49.98
_01216_,49.965
clknet_leaf_40_clk,49.74
_01163_,49.64
_01208_,49.565
_04677_,49.48
_01215_,49.405
_03012_,49.32
regfile_inst.RegisterFile\[23\]\[21\],49.32
_01453_,49.3
_01367_,49.14
net97,49.08
_01743_,48.88
_02948_,48.86
_03475_,48.86
regfile_inst.RegisterFile\[28\]\[8\],48.86
_01172_,48.76
_03894_,48.6
_01176_,48.56
regfile_inst.RegisterFile\[21\]\[27\],48.34
_01344_,48.32
_01224_,47.96
_01207_,47.705
_01113_,47.68
_03237_,47.56
_04320_,47.18
_04623_,47.16
regfile_inst.RegisterFile\[25\]\[14\],46.94
_04435_,46.8
_04452_,46.76
_04583_,46.6
regfile_inst.RegisterFile\[23\]\[9\],46.47
_03797_,46.38
_01634_,46.28
_02577_,46.26
_01147_,46.225
_01703_,46.18
_01161_,46.15
_03480_,46.14
_03317_,46.12
_00431_,46.08
regfile_inst.RegisterFile\[27\]\[1\],46.02
_01298_,45.9
_01184_,45.6
regfile_inst.RegisterFile\[24\]\[11\],45.54
_01320_,45.38
_01173_,45.22
_04449_,45.06
_01316_,44.92
clknet_leaf_83_clk,44.88
regfile_inst.RegisterFile\[21\]\[0\],44.76
_01409_,44.5
net162,44.42
regfile_inst.RegisterFile\[7\]\[22\],44.41
net138,44.34
_02851_,44.16
regfile_inst.RegisterFile\[26\]\[22\],44.145
_03579_,44.12
regfile_inst.RegisterFile\[19\]\[22\],44.04
_01322_,43.96
_04007_,43.94
net158,43.76
regfile_inst.RegisterFile\[17\]\[25\],43.56
_04669_,43.4
_03274_,43.36
_01468_,43.22
_01421_,43.06
_01236_,43
_01443_,42.92
regfile_inst.RegisterFile\[25\]\[27\],42.88
regfile_inst.RegisterFile\[7\]\[10\],42.88
net98,42.88
_01152_,42.85
_00301_,42.755
net90,42.6
_03542_,42.48
regfile_inst.RegisterFile\[22\]\[29\],42.46
regfile_inst.RegisterFile\[25\]\[0\],42.38
_03632_,42.16
regfile_inst.RegisterFile\[30\]\[13\],42.145
_03342_,42.02
_03341_,41.92
_01678_,41.82
_03534_,41.8
_04334_,41.74
regfile_inst.RegisterFile\[7\]\[21\],41.58
net159,41.28
_01297_,41.16
net886,41.14
regfile_inst.RegisterFile\[21\]\[29\],41.12
_01526_,41.08
_04533_,40.96
regfile_inst.RegisterFile\[11\]\[20\],40.94
regfile_inst.RegisterFile\[7\]\[17\],40.94
_01171_,40.74
clknet_leaf_66_clk,40.74
_02995_,40.7
regfile_inst.RegisterFile\[6\]\[9\],40.66
regfile_inst.RegisterFile\[27\]\[13\],40.64
_01199_,40.595
_03286_,40.58
_03844_,40.3
regfile_inst.RegisterFile\[28\]\[28\],40.24
regfile_inst.RegisterFile\[27\]\[5\],40.18
regfile_inst.RegisterFile\[9\]\[29\],40.14
regfile_inst.RegisterFile\[26\]\[16\],40.09
_03858_,40.04
_01160_,39.82
clknet_leaf_105_clk,39.8
_01228_,39.66
regfile_inst.RegisterFile\[20\]\[22\],39.66
_01221_,39.58
_04561_,39.465
_04246_,39.42
regfile_inst.RegisterFile\[31\]\[4\],39.42
regfile_inst.RegisterFile\[8\]\[15\],39.42
_01630_,38.98
_04569_,38.92
_01663_,38.845
_04180_,38.76
_04379_,38.74
_00203_,38.7
regfile_inst.RegisterFile\[6\]\[8\],38.66
_03513_,38.62
regfile_inst.RegisterFile\[25\]\[28\],38.58
_01459_,38.44
_03454_,38.44
_01434_,38.32
regfile_inst.RegisterFile\[24\]\[29\],38.32
_03155_,38.16
regfile_inst.RegisterFile\[23\]\[1\],37.94
_03733_,37.82
_04420_,37.78
_01175_,37.76
regfile_inst.RegisterFile\[31\]\[3\],37.715
_01136_,37.705
regfile_inst.RegisterFile\[2\]\[7\],37.635
net91,37.62
_01178_,37.525
_01231_,37.5
_03597_,37.5
_01395_,37.42
_01542_,37.36
regfile_inst.RegisterFile\[25\]\[16\],37.34
_01350_,37.22
_04038_,37.22
_03933_,37.2
regfile_inst.RegisterFile\[7\]\[30\],37.2
_02252_,37.14
regfile_inst.RegisterFile\[31\]\[13\],37.14
_04255_,37.12
_03455_,37.1
_04959_,37.02
_01425_,37.015
_01174_,36.98
net103,36.98
regfile_inst.RegisterFile\[28\]\[24\],36.92
_04575_,36.9
_01440_,36.86
regfile_inst.RegisterFile\[22\]\[21\],36.86
regfile_inst.RegisterFile\[27\]\[0\],36.86
net93,36.86
_04513_,36.84
regfile_inst.RegisterFile\[8\]\[10\],36.62
_02818_,36.54
_03659_,36.535
